Student ID,Most Frequent Payment Date
SID16318,April 23
SID16319,April 9
SID1632,April 19
SID16320,April 6
SID16321,April 19
SID16322,April 22
SID16323,April 10
SID16324,April 9
SID16325,April 28
SID16326,April 6
SID16327,April 27
SID16328,April 21
SID16329,April 19
SID1633,April 13
SID16330,April 6
SID16331,April 11
SID16332,April 20
SID16333,April 28
SID16334,April 18
SID16335,April 15
SID16336,April 10
SID16337,April 2
SID16338,April 11
SID16339,April 9
SID1634,April 28
SID16340,April 18
SID16341,April 13
SID16342,April 12
SID16343,April 26
SID16344,April 20
SID16345,April 15
SID16346,April 6
SID16347,April 12
SID16348,April 20
SID16349,April 22
SID1635,April 18
SID16350,April 15
SID16351,April 15
SID16352,April 21
SID16353,April 15
SID16354,April 11
SID16355,April 27
SID16356,April 15
SID16357,April 12
SID16358,April 2
SID16359,April 22
SID1636,April 7
SID16360,April 16
SID16361,April 17
SID16362,April 22
SID16363,April 1
SID16364,April 27
SID16365,April 21
SID16366,April 14
SID16367,April 7
SID16368,April 27
SID16369,April 26
SID1637,April 11
SID16370,April 26
SID16371,April 13
SID16372,April 19
SID16373,April 1
SID16374,April 4
SID16375,April 11
SID16376,April 27
SID16377,April 18
SID16378,April 19
SID16379,April 9
SID1638,April 25
SID16380,April 5
SID16381,April 23
SID16382,April 8
SID16383,April 17
SID16384,April 15
SID16385,April 2
SID16386,April 9
SID16387,April 16
SID16388,April 22
SID16389,April 3
SID1639,April 17
SID16390,April 21
SID16391,April 18
SID16392,April 3
SID16393,April 25
SID16394,April 19
SID16395,April 22
SID16396,April 28
SID16397,April 23
SID16398,April 2
SID16399,April 17
SID1640,April 28
SID16400,April 2
SID16401,April 25
SID16402,April 18
SID16403,April 19
SID16404,April 3
SID16405,April 22
SID16406,April 1
SID16407,April 3
SID16408,April 26
SID16409,April 7
SID1641,April 11
SID16410,April 15
SID16411,April 23
SID16412,April 27
SID16413,April 17
SID16414,April 15
SID16415,April 11
SID16416,April 16
SID16417,April 18
SID16418,April 22
SID16419,April 20
SID1642,April 28
SID16420,April 28
SID16421,April 22
SID16422,April 17
SID16423,April 8
SID16424,April 17
SID16425,April 21
SID16426,April 19
SID16427,April 16
SID16428,April 18
SID16429,April 26
SID1643,April 3
SID16430,April 28
SID16431,April 2
SID16432,April 7
SID16433,April 8
SID16434,April 3
SID16435,April 12
SID16436,April 27
SID16437,April 19
SID16438,April 26
SID16439,April 6
SID1644,April 8
SID16440,April 19
SID16441,April 18
SID16442,April 11
SID16443,April 23
SID16444,April 14
SID16445,April 13
SID16446,April 23
SID16447,April 12
SID16448,April 14
SID16449,April 24
SID1645,April 15
SID16450,April 18
SID16451,April 14
SID16452,April 20
SID16453,April 12
SID16454,April 21
SID16455,April 7
SID16456,April 20
SID16457,April 12
SID16458,April 28
SID16459,April 8
SID1646,April 26
SID16460,April 1
SID16461,April 3
SID16462,April 16
SID16463,April 28
SID16464,April 24
SID16465,April 2
SID16466,April 5
SID16467,April 20
SID16468,April 4
SID16469,April 3
SID1647,April 8
SID16470,April 21
SID16471,April 3
SID16472,April 25
SID16473,April 14
SID16474,April 8
SID16475,April 26
SID16476,April 21
SID16477,April 15
SID16478,April 2
SID16479,April 13
SID1648,April 8
SID16480,April 15
SID16481,April 20
SID16482,April 27
SID16483,April 11
SID16484,April 24
SID16485,April 13
SID16486,April 9
SID16487,April 15
SID16488,April 14
SID16489,April 14
SID1649,April 5
SID16490,April 18
SID16491,April 16
SID16492,April 19
SID16493,April 7
SID16494,April 23
SID16495,April 22
SID16496,April 27
SID16497,April 22
SID16498,April 9
SID16499,April 9
SID1650,April 6
SID16500,April 25
SID16501,April 22
SID16502,April 3
SID16503,April 22
SID16504,April 9
SID16505,April 27
SID16506,April 23
SID16507,April 11
SID16508,April 13
SID16509,April 13
SID1651,April 2
SID16510,April 3
SID16511,April 19
SID16512,April 24
SID16513,April 12
SID16514,April 23
SID16515,April 14
SID16516,April 18
SID16517,April 1
SID16518,April 1
SID16519,April 7
SID1652,April 25
SID16520,April 5
SID16521,April 17
SID16522,April 25
SID16523,April 20
SID16524,April 24
SID16525,April 23
SID16526,April 6
SID16527,April 12
SID16528,April 21
SID16529,April 4
SID1653,April 10
SID16530,April 12
SID16531,April 4
SID16532,April 6
SID16533,April 9
SID16534,April 8
SID16535,April 13
SID16536,April 21
SID16537,April 4
SID16538,April 8
SID16539,April 13
SID1654,April 26
SID16540,April 7
SID16541,April 27
SID16542,April 14
SID16543,April 19
SID16544,April 5
SID16545,April 11
SID16546,April 2
SID16547,April 24
SID16548,April 4
SID16549,April 22
SID1655,April 13
SID16550,April 13
SID16551,April 9
SID16552,April 21
SID16553,April 22
SID16554,April 16
SID16555,April 24
SID16556,April 19
SID16557,April 13
SID16558,April 6
SID16559,April 13
SID1656,April 12
SID16560,April 5
SID16561,April 26
SID16562,April 4
SID16563,April 15
SID16564,April 4
SID16565,April 14
SID16566,April 4
SID16567,April 11
SID16568,April 2
SID16569,April 23
SID1657,April 17
SID16570,April 25
SID16571,April 8
SID16572,April 15
SID16573,April 1
SID16574,April 7
SID16575,April 2
SID16576,April 3
SID16577,April 8
SID16578,April 28
SID16579,April 20
SID1658,April 4
SID16580,April 13
SID16581,April 11
SID16582,April 13
SID16583,April 13
SID16584,April 28
SID16585,April 9
SID16586,April 18
SID16587,April 8
SID16588,April 3
SID16589,April 10
SID1659,April 24
SID16590,April 23
SID16591,April 24
SID16592,April 16
SID16593,April 9
SID16594,April 18
SID16595,April 19
SID16596,April 17
SID16597,April 10
SID16598,April 17
SID16599,April 13
SID1660,April 23
SID16600,April 15
SID16601,April 5
SID16602,April 15
SID16603,April 14
SID16604,April 25
SID16605,April 22
SID16606,April 16
SID16607,April 28
SID16608,April 20
SID16609,April 24
SID1661,April 6
SID16610,April 5
SID16611,April 11
SID16612,April 8
SID16613,April 21
SID16614,April 11
SID16615,April 28
SID16616,April 7
SID16617,April 6
SID16618,April 16
SID16619,April 19
SID1662,April 17
SID16620,April 23
SID16621,April 11
SID16622,April 21
SID16623,April 25
SID16624,April 4
SID16625,April 17
SID16626,April 17
SID16627,April 28
SID16628,April 3
SID16629,April 16
SID1663,April 11
SID16630,April 11
SID16631,April 1
SID16632,April 11
SID16633,April 12
SID16634,April 28
SID16635,April 25
SID16636,April 4
SID16637,April 24
SID16638,April 28
SID16639,April 3
SID1664,April 12
SID16640,April 2
SID16641,April 9
SID16642,April 7
SID16643,April 18
SID16644,April 21
SID16645,April 26
SID16646,April 2
SID16647,April 20
SID16648,April 21
SID16649,April 6
SID1665,April 11
SID16650,April 13
SID16651,April 11
SID16652,April 20
SID16653,April 24
SID16654,April 7
SID16655,April 7
SID16656,April 25
SID16657,April 5
SID16658,April 18
SID16659,April 1
SID1666,April 7
SID16660,April 19
SID16661,April 18
SID16662,April 6
SID16663,April 13
SID16664,April 17
SID16665,April 7
SID16666,April 24
SID16667,April 15
SID16668,April 17
SID16669,April 6
SID1667,April 10
SID16670,April 7
SID16671,April 20
SID16672,April 14
SID16673,April 25
SID16674,April 18
SID16675,April 27
SID16676,April 12
SID16677,April 20
SID16678,April 13
SID16679,April 27
SID1668,April 21
SID16680,April 27
SID16681,April 21
SID16682,April 24
SID16683,April 1
SID16684,April 20
SID16685,April 13
SID16686,April 28
SID16687,April 8
SID16688,April 22
SID16689,April 27
SID1669,April 23
SID16690,April 7
SID16691,April 3
SID16692,April 25
SID16693,April 10
SID16694,April 19
SID16695,April 9
SID16696,April 13
SID16697,April 10
SID16698,April 27
SID16699,April 15
SID1670,April 26
SID16700,April 2
SID16701,April 11
SID16702,April 9
SID16703,April 12
SID16704,April 3
SID16705,April 19
SID16706,April 5
SID16707,April 17
SID16708,April 6
SID16709,April 26
SID1671,April 12
SID16710,April 24
SID16711,April 28
SID16712,April 6
SID16713,April 9
SID16714,April 19
SID16715,April 14
SID16716,April 15
SID16717,April 17
SID16718,April 12
SID16719,April 2
SID1672,April 17
SID16720,April 22
SID16721,April 24
SID16722,April 15
SID16723,April 26
SID16724,April 18
SID16725,April 6
SID16726,April 16
SID16727,April 19
SID16728,April 24
SID16729,April 19
SID1673,April 13
SID16730,April 9
SID16731,April 19
SID16732,April 16
SID16733,April 11
SID16734,April 21
SID16735,April 23
SID16736,April 23
SID16737,April 20
SID16738,April 2
SID16739,April 23
SID1674,April 1
SID16740,April 10
SID16741,April 14
SID16742,April 14
SID16743,April 6
SID16744,April 24
SID16745,April 13
SID16746,April 10
SID16747,April 28
SID16748,April 22
SID16749,April 7
SID1675,April 23
SID16750,April 27
SID16751,April 20
SID16752,April 2
SID16753,April 2
SID16754,April 19
SID16755,April 7
SID16756,April 11
SID16757,April 27
SID16758,April 14
SID16759,April 18
SID1676,April 14
SID16760,April 12
SID16761,April 3
SID16762,April 11
SID16763,April 24
SID16764,April 24
SID16765,April 17
SID16766,April 20
SID16767,April 26
SID16768,April 13
SID16769,April 21
SID1677,April 17
SID16770,April 15
SID16771,April 5
SID16772,April 28
SID16773,April 19
SID16774,April 5
SID16775,April 20
SID16776,April 3
SID16777,April 17
SID16778,April 20
SID16779,April 10
SID1678,April 1
SID16780,April 19
SID16781,April 18
SID16782,April 20
SID16783,April 2
SID16784,April 20
SID16785,April 28
SID16786,April 18
SID16787,April 16
SID16788,April 25
SID16789,April 4
SID1679,April 27
SID16790,April 20
SID16791,April 1
SID16792,April 5
SID16793,April 9
SID16794,April 26
SID16795,April 7
SID16796,April 28
SID16797,April 13
SID16798,April 22
SID16799,April 14
SID1680,April 5
SID16800,April 12
SID16801,April 7
SID16802,April 14
SID16803,April 13
SID16804,April 24
SID16805,April 24
SID16806,April 23
SID16807,April 25
SID16808,April 20
SID16809,April 12
SID1681,April 4
SID16810,April 8
SID16811,April 6
SID16812,April 6
SID16813,April 26
SID16814,April 6
SID16815,April 7
SID16816,April 18
SID16817,April 18
SID16818,April 14
SID16819,April 14
SID1682,April 23
SID16820,April 10
SID16821,April 24
SID16822,April 14
SID16823,April 17
SID16824,April 14
SID16825,April 10
SID16826,April 10
SID16827,April 14
SID16828,April 5
SID16829,April 22
SID1683,April 4
SID16830,April 26
SID16831,April 4
SID16832,April 4
SID16833,April 19
SID16834,April 24
SID16835,April 10
SID16836,April 7
SID16837,April 18
SID16838,April 2
SID16839,April 11
SID1684,April 8
SID16840,April 6
SID16841,April 10
SID16842,April 10
SID16843,April 9
SID16844,April 24
SID16845,April 17
SID16846,April 7
SID16847,April 15
SID16848,April 16
SID16849,April 9
SID1685,April 4
SID16850,April 3
SID16851,April 3
SID16852,April 6
SID16853,April 21
SID16854,April 13
SID16855,April 23
SID16856,April 1
SID16857,April 26
SID16858,April 24
SID16859,April 9
SID1686,April 4
SID16860,April 8
SID16861,April 6
SID16862,April 15
SID16863,April 28
SID16864,April 8
SID16865,April 1
SID16866,April 16
SID16867,April 27
SID16868,April 25
SID16869,April 3
SID1687,April 11
SID16870,April 21
SID16871,April 22
SID16872,April 13
SID16873,April 14
SID16874,April 12
SID16875,April 7
SID16876,April 11
SID16877,April 27
SID16878,April 13
SID16879,April 18
SID1688,April 14
SID16880,April 18
SID16881,April 13
SID16882,April 24
SID16883,April 17
SID16884,April 17
SID16885,April 21
SID16886,April 26
SID16887,April 18
SID16888,April 10
SID16889,April 22
SID1689,April 26
SID16890,April 8
SID16891,April 9
SID16892,April 8
SID16893,April 21
SID16894,April 9
SID16895,April 26
SID16896,April 23
SID16897,April 26
SID16898,April 12
SID16899,April 26
SID1690,April 21
SID16900,April 15
SID16901,April 25
SID16902,April 14
SID16903,April 8
SID16904,April 28
SID16905,April 23
SID16906,April 13
SID16907,April 16
SID16908,April 17
SID16909,April 2
SID1691,April 8
SID16910,April 21
SID16911,April 20
SID16912,April 5
SID16913,April 13
SID16914,April 11
SID16915,April 24
SID16916,April 14
SID16917,April 3
SID16918,April 6
SID16919,April 13
SID1692,April 10
SID16920,April 13
SID16921,April 16
SID16922,April 6
SID16923,April 6
SID16924,April 24
SID16925,April 6
SID16926,April 3
SID16927,April 1
SID16928,April 18
SID16929,April 14
SID1693,April 17
SID16930,April 2
SID16931,April 19
SID16932,April 13
SID16933,April 24
SID16934,April 2
SID16935,April 28
SID16936,April 16
SID16937,April 11
SID16938,April 26
SID16939,April 17
SID1694,April 14
SID16940,April 3
SID16941,April 5
SID16942,April 25
SID16943,April 28
SID16944,April 8
SID16945,April 13
SID16946,April 28
SID16947,April 24
SID16948,April 24
SID16949,April 8
SID1695,April 14
SID16950,April 24
SID16951,April 15
SID16952,April 13
SID16953,April 6
SID16954,April 8
SID16955,April 14
SID16956,April 4
SID16957,April 24
SID16958,April 3
SID16959,April 20
SID1696,April 20
SID16960,April 20
SID16961,April 13
SID16962,April 22
SID16963,April 18
SID16964,April 8
SID16965,April 13
SID16966,April 26
SID16967,April 24
SID16968,April 9
SID16969,April 27
SID1697,April 7
SID16970,April 17
SID16971,April 9
SID16972,April 2
SID16973,April 13
SID16974,April 21
SID16975,April 15
SID16976,April 8
SID16977,April 24
SID16978,April 1
SID16979,April 8
SID1698,April 16
SID16980,April 20
SID16981,April 18
SID16982,April 5
SID16983,April 21
SID16984,April 11
SID16985,April 1
SID16986,April 7
SID16987,April 13
SID16988,April 15
SID16989,April 19
SID1699,April 13
SID16990,April 19
SID16991,April 15
SID16992,April 6
SID16993,April 1
SID16994,April 10
SID16995,April 11
SID16996,April 1
SID16997,April 26
SID16998,April 25
SID16999,April 5
SID1700,April 9
SID17000,April 1
SID17001,April 25
SID17002,April 27
SID17003,April 26
SID17004,April 16
SID17005,April 10
SID17006,April 19
SID17007,April 1
SID17008,April 19
SID17009,April 14
SID1701,April 1
SID17010,April 23
SID17011,April 11
SID17012,April 3
SID17013,April 20
SID17014,April 16
SID17015,April 10
SID17016,April 5
SID17017,April 22
SID17018,April 8
SID17019,April 4
SID1702,April 8
SID17020,April 1
SID17021,April 11
SID17022,April 8
SID17023,April 4
SID17024,April 2
SID17025,April 26
SID17026,April 24
SID17027,April 7
SID17028,April 18
SID17029,April 8
SID1703,April 27
SID17030,April 22
SID17031,April 21
SID17032,April 17
SID17033,April 7
SID17034,April 25
SID17035,April 1
SID17036,April 15
SID17037,April 3
SID17038,April 5
SID17039,April 22
SID1704,April 5
SID17040,April 10
SID17041,April 10
SID17042,April 18
SID17043,April 26
SID17044,April 19
SID17045,April 13
SID17046,April 6
SID17047,April 14
SID17048,April 8
SID17049,April 7
SID1705,April 16
SID17050,April 13
SID17051,April 18
SID17052,April 4
SID17053,April 3
SID17054,April 27
SID17055,April 15
SID17056,April 1
SID17057,April 25
SID17058,April 21
SID17059,April 6
SID1706,April 23
SID17060,April 14
SID17061,April 16
SID17062,April 26
SID17063,April 19
SID17064,April 26
SID17065,April 11
SID17066,April 27
SID17067,April 10
SID17068,April 8
SID17069,April 10
SID1707,April 12
SID17070,April 27
SID17071,April 18
SID17072,April 2
SID17073,April 9
SID17074,April 2
SID17075,April 15
SID17076,April 18
SID17077,April 1
SID17078,April 18
SID17079,April 26
SID1708,April 19
SID17080,April 12
SID17081,April 2
SID17082,April 2
SID17083,April 6
SID17084,April 23
SID17085,April 23
SID17086,April 10
SID17087,April 11
SID17088,April 17
SID17089,April 18
SID1709,April 8
SID17090,April 22
SID17091,April 15
SID17092,April 15
SID17093,April 5
SID17094,April 24
SID17095,April 2
SID17096,April 24
SID17097,April 19
SID17098,April 18
SID17099,April 4
SID1710,April 4
SID17100,April 7
SID17101,April 18
SID17102,April 25
SID17103,April 23
SID17104,April 6
SID17105,April 28
SID17106,April 1
SID17107,April 14
SID17108,April 7
SID17109,April 25
SID1711,April 21
SID17110,April 25
SID17111,April 15
SID17112,April 5
SID17113,April 12
SID17114,April 19
SID17115,April 28
SID17116,April 21
SID17117,April 17
SID17118,April 15
SID17119,April 24
SID1712,April 20
SID17120,April 16
SID17121,April 27
SID17122,April 22
SID17123,April 21
SID17124,April 11
SID17125,April 24
SID17126,April 26
SID17127,April 24
SID17128,April 21
SID17129,April 10
SID1713,April 7
SID17130,April 22
SID17131,April 19
SID17132,April 19
SID17133,April 9
SID17134,April 7
SID17135,April 27
SID17136,April 19
SID17137,April 3
SID17138,April 16
SID17139,April 22
SID1714,April 26
SID17140,April 26
SID17141,April 15
SID17142,April 6
SID17143,April 24
SID17144,April 1
SID17145,April 23
SID17146,April 20
SID17147,April 13
SID17148,April 1
SID17149,April 14
SID1715,April 3
SID17150,April 16
SID17151,April 19
SID17152,April 22
SID17153,April 13
SID17154,April 27
SID17155,April 19
SID17156,April 11
SID17157,April 13
SID17158,April 27
SID17159,April 20
SID1716,April 1
SID17160,April 11
SID17161,April 2
SID17162,April 6
SID17163,April 4
SID17164,April 18
SID17165,April 10
SID17166,April 17
SID17167,April 2
SID17168,April 18
SID17169,April 27
SID1717,April 15
SID17170,April 11
SID17171,April 8
SID17172,April 1
SID17173,April 8
SID17174,April 15
SID17175,April 28
SID17176,April 23
SID17177,April 24
SID17178,April 24
SID17179,April 17
SID1718,April 13
SID17180,April 5
SID17181,April 9
SID17182,April 25
SID17183,April 7
SID17184,April 15
SID17185,April 5
SID17186,April 12
SID17187,April 3
SID17188,April 26
SID17189,April 27
SID1719,April 24
SID17190,April 27
SID17191,April 21
SID17192,April 26
SID17193,April 21
SID17194,April 14
SID17195,April 7
SID17196,April 22
SID17197,April 18
SID17198,April 22
SID17199,April 25
SID1720,April 19
SID17200,April 4
SID17201,April 9
SID17202,April 13
SID17203,April 13
SID17204,April 20
SID17205,April 2
SID17206,April 8
SID17207,April 26
SID17208,April 7
SID17209,April 20
SID1721,April 1
SID17210,April 18
SID17211,April 26
SID17212,April 4
SID17213,April 28
SID17214,April 28
SID17215,April 13
SID17216,April 19
SID17217,April 12
SID17218,April 22
SID17219,April 4
SID1722,April 14
SID17220,April 3
SID17221,April 1
SID17222,April 26
SID17223,April 4
SID17224,April 4
SID17225,April 3
SID17226,April 15
SID17227,April 12
SID17228,April 13
SID17229,April 26
SID1723,April 19
SID17230,April 16
SID17231,April 13
SID17232,April 6
SID17233,April 13
SID17234,April 13
SID17235,April 4
SID17236,April 1
SID17237,April 19
SID17238,April 28
SID17239,April 4
SID1724,April 3
SID17240,April 16
SID17241,April 4
SID17242,April 11
SID17243,April 20
SID17244,April 12
SID17245,April 23
SID17246,April 22
SID17247,April 8
SID17248,April 2
SID17249,April 24
SID1725,April 23
SID17250,April 10
SID17251,April 7
SID17252,April 18
SID17253,April 17
SID17254,April 15
SID17255,April 23
SID17256,April 21
SID17257,April 9
SID17258,April 2
SID17259,April 24
SID1726,April 13
SID17260,April 25
SID17261,April 15
SID17262,April 6
SID17263,April 24
SID17264,April 23
SID17265,April 22
SID17266,April 22
SID17267,April 10
SID17268,April 26
SID17269,April 17
SID1727,April 25
SID17270,April 27
SID17271,April 8
SID17272,April 18
SID17273,April 10
SID17274,April 19
SID17275,April 1
SID17276,April 12
SID17277,April 13
SID17278,April 22
SID17279,April 12
SID1728,April 12
SID17280,April 4
SID17281,April 28
SID17282,April 27
SID17283,April 13
SID17284,April 23
SID17285,April 8
SID17286,April 18
SID17287,April 19
SID17288,April 12
SID17289,April 27
SID1729,April 4
SID17290,April 7
SID17291,April 1
SID17292,April 17
SID17293,April 2
SID17294,April 1
SID17295,April 6
SID17296,April 2
SID17297,April 25
SID17298,April 10
SID17299,April 3
SID1730,April 26
SID17300,April 15
SID17301,April 7
SID17302,April 27
SID17303,April 17
SID17304,April 28
SID17305,April 3
SID17306,April 9
SID17307,April 27
SID17308,April 27
SID17309,April 27
SID1731,April 1
SID17310,April 7
SID17311,April 28
SID17312,April 1
SID17313,April 22
SID17314,April 6
SID17315,April 28
SID17316,April 20
SID17317,April 23
SID17318,April 18
SID17319,April 7
SID1732,April 7
SID17320,April 5
SID17321,April 18
SID17322,April 11
SID17323,April 28
SID17324,April 27
SID17325,April 15
SID17326,April 27
SID17327,April 22
SID17328,April 28
SID17329,April 2
SID1733,April 2
SID17330,April 25
SID17331,April 21
SID17332,April 1
SID17333,April 21
SID17334,April 9
SID17335,April 28
SID17336,April 20
SID17337,April 14
SID17338,April 16
SID17339,April 16
SID1734,April 19
SID17340,April 11
SID17341,April 8
SID17342,April 17
SID17343,April 6
SID17344,April 3
SID17345,April 22
SID17346,April 23
SID17347,April 14
SID17348,April 26
SID17349,April 18
SID1735,April 21
SID17350,April 22
SID17351,April 23
SID17352,April 9
SID17353,April 26
SID17354,April 21
SID17355,April 24
SID17356,April 16
SID17357,April 10
SID17358,April 7
SID17359,April 2
SID1736,April 24
SID17360,April 6
SID17361,April 2
SID17362,April 25
SID17363,April 25
SID17364,April 22
SID17365,April 19
SID17366,April 14
SID17367,April 4
SID17368,April 17
SID17369,April 22
SID1737,April 4
SID17370,April 21
SID17371,April 9
SID17372,April 4
SID17373,April 17
SID17374,April 23
SID17375,April 13
SID17376,April 3
SID17377,April 16
SID17378,April 12
SID17379,April 24
SID1738,April 26
SID17380,April 22
SID17381,April 13
SID17382,April 26
SID17383,April 25
SID17384,April 14
SID17385,April 16
SID17386,April 5
SID17387,April 19
SID17388,April 24
SID17389,April 1
SID1739,April 14
SID17390,April 24
SID17391,April 11
SID17392,April 22
SID17393,April 9
SID17394,April 1
SID17395,April 16
SID17396,April 22
SID17397,April 11
SID17398,April 11
SID17399,April 9
SID1740,April 27
SID17400,April 21
SID17401,April 26
SID17402,April 18
SID17403,April 2
SID17404,April 23
SID17405,April 7
SID17406,April 24
SID17407,April 1
SID17408,April 24
SID17409,April 19
SID1741,April 25
SID17410,April 9
SID17411,April 9
SID17412,April 12
SID17413,April 10
SID17414,April 28
SID17415,April 13
SID17416,April 20
SID17417,April 15
SID17418,April 4
SID17419,April 5
SID1742,April 18
SID17420,April 28
SID17421,April 4
SID17422,April 18
SID17423,April 18
SID17424,April 16
SID17425,April 23
SID17426,April 28
SID17427,April 3
SID17428,April 21
SID17429,April 23
SID1743,April 11
SID17430,April 28
SID17431,April 22
SID17432,April 22
SID17433,April 24
SID17434,April 21
SID17435,April 1
SID17436,April 24
SID17437,April 2
SID17438,April 16
SID17439,April 9
SID1744,April 5
SID17440,April 11
SID17441,April 10
SID17442,April 24
SID17443,April 20
SID17444,April 6
SID17445,April 1
SID17446,April 12
SID17447,April 6
SID17448,April 15
SID17449,April 16
SID1745,April 17
SID17450,April 26
SID17451,April 4
SID17452,April 27
SID17453,April 3
SID17454,April 16
SID17455,April 25
SID17456,April 9
SID17457,April 6
SID17458,April 23
SID17459,April 15
SID1746,April 5
SID17460,April 25
SID17461,April 21
SID17462,April 6
SID17463,April 28
SID17464,April 14
SID17465,April 5
SID17466,April 19
SID17467,April 15
SID17468,April 7
SID17469,April 9
SID1747,April 11
SID17470,April 24
SID17471,April 5
SID17472,April 13
SID17473,April 24
SID17474,April 12
SID17475,April 26
SID17476,April 22
SID17477,April 20
SID17478,April 4
SID17479,April 28
SID1748,April 18
SID17480,April 13
SID17481,April 24
SID17482,April 27
SID17483,April 4
SID17484,April 9
SID17485,April 17
SID17486,April 18
SID17487,April 6
SID17488,April 11
SID17489,April 21
SID1749,April 9
SID17490,April 14
SID17491,April 26
SID17492,April 14
SID17493,April 5
SID17494,April 24
SID17495,April 22
SID17496,April 16
SID17497,April 13
SID17498,April 15
SID17499,April 16
SID1750,April 19
SID17500,April 10
SID17501,April 6
SID17502,April 13
SID17503,April 14
SID17504,April 23
SID17505,April 5
SID17506,April 20
SID17507,April 3
SID17508,April 19
SID17509,April 10
SID1751,April 20
SID17510,April 25
SID17511,April 14
SID17512,April 21
SID17513,April 21
SID17514,April 11
SID17515,April 4
SID17516,April 11
SID17517,April 13
SID17518,April 2
SID17519,April 15
SID1752,April 14
SID17520,April 9
SID17521,April 17
SID17522,April 27
SID17523,April 21
SID17524,April 10
SID17525,April 26
SID17526,April 13
SID17527,April 24
SID17528,April 3
SID17529,April 22
SID1753,April 3
SID17530,April 4
SID17531,April 1
SID17532,April 18
SID17533,April 10
SID17534,April 5
SID17535,April 28
SID17536,April 17
SID17537,April 11
SID17538,April 3
SID17539,April 10
SID1754,April 28
SID17540,April 5
SID17541,April 8
SID17542,April 21
SID17543,April 25
SID17544,April 16
SID17545,April 26
SID17546,April 17
SID17547,April 7
SID17548,April 21
SID17549,April 22
SID1755,April 19
SID17550,April 5
SID17551,April 27
SID17552,April 3
SID17553,April 23
SID17554,April 16
SID17555,April 6
SID17556,April 12
SID17557,April 28
SID17558,April 14
SID17559,April 18
SID1756,April 18
SID17560,April 12
SID17561,April 5
SID17562,April 25
SID17563,April 7
SID17564,April 26
SID17565,April 4
SID17566,April 22
SID17567,April 20
SID17568,April 6
SID17569,April 6
SID1757,April 26
SID17570,April 3
SID17571,April 2
SID17572,April 9
SID17573,April 11
SID17574,April 24
SID17575,April 9
SID17576,April 12
SID17577,April 11
SID17578,April 5
SID17579,April 16
SID1758,April 21
SID17580,April 5
SID17581,April 11
SID17582,April 9
SID17583,April 26
SID17584,April 23
SID17585,April 4
SID17586,April 26
SID17587,April 2
SID17588,April 15
SID17589,April 18
SID1759,April 26
SID17590,April 19
SID17591,April 14
SID17592,April 27
SID17593,April 8
SID17594,April 15
SID17595,April 20
SID17596,April 23
SID17597,April 14
SID17598,April 14
SID17599,April 15
SID1760,April 24
SID17600,April 3
SID17601,April 21
SID17602,April 20
SID17603,April 28
SID17604,April 13
SID17605,April 17
SID17606,April 23
SID17607,April 13
SID17608,April 14
SID17609,April 13
SID1761,April 17
SID17610,April 9
SID17611,April 23
SID17612,April 7
SID17613,April 8
SID17614,April 24
SID17615,April 2
SID17616,April 10
SID17617,April 22
SID17618,April 9
SID17619,April 15
SID1762,April 18
SID17620,April 8
SID17621,April 10
SID17622,April 10
SID17623,April 5
SID17624,April 3
SID17625,April 3
SID17626,April 1
SID17627,April 10
SID17628,April 28
SID17629,April 17
SID1763,April 21
SID17630,April 9
SID17631,April 3
SID17632,April 16
SID17633,April 9
SID17634,April 3
SID17635,April 6
SID17636,April 25
SID17637,April 5
SID17638,April 1
SID17639,April 19
SID1764,April 8
SID17640,April 21
SID17641,April 17
SID17642,April 8
SID17643,April 9
SID17644,April 7
SID17645,April 13
SID17646,April 16
SID17647,April 8
SID17648,April 19
SID17649,April 14
SID1765,April 26
SID17650,April 17
SID17651,April 9
SID17652,April 18
SID17653,April 9
SID17654,April 21
SID17655,April 18
SID17656,April 27
SID17657,April 27
SID17658,April 1
SID17659,April 18
SID1766,April 4
SID17660,April 20
SID17661,April 28
SID17662,April 21
SID17663,April 12
SID17664,April 19
SID17665,April 21
SID17666,April 6
SID17667,April 9
SID17668,April 8
SID17669,April 20
SID1767,April 6
SID17670,April 14
SID17671,April 8
SID17672,April 4
SID17673,April 19
SID17674,April 2
SID17675,April 8
SID17676,April 13
SID17677,April 18
SID17678,April 27
SID17679,April 5
SID1768,April 20
SID17680,April 4
SID17681,April 27
SID17682,April 24
SID17683,April 13
SID17684,April 7
SID17685,April 2
SID17686,April 2
SID17687,April 20
SID17688,April 17
SID17689,April 15
SID1769,April 19
SID17690,April 1
SID17691,April 28
SID17692,April 21
SID17693,April 7
SID17694,April 25
SID17695,April 13
SID17696,April 27
SID17697,April 17
SID17698,April 14
SID17699,April 8
SID1770,April 11
SID17700,April 22
SID17701,April 16
SID17702,April 21
SID17703,April 13
SID17704,April 13
SID17705,April 13
SID17706,April 12
SID17707,April 25
SID17708,April 5
SID17709,April 13
SID1771,April 16
SID17710,April 11
SID17711,April 17
SID17712,April 5
SID17713,April 27
SID17714,April 20
SID17715,April 1
SID17716,April 20
SID17717,April 25
SID17718,April 1
SID17719,April 23
SID1772,April 10
SID17720,April 6
SID17721,April 20
SID17722,April 2
SID17723,April 13
SID17724,April 1
SID17725,April 20
SID17726,April 22
SID17727,April 28
SID17728,April 16
SID17729,April 10
